longitude,latitude,slope_degrees,elevation_m,event_datetime,temperature_2m_C,soil_temperature_level_1_C,soil_temperature_level_2_C,precip_hourly_mm,precip_3h_mm,precip_1d_mm,precip_3d_mm,landslide
12.3966,47.446,2.131732071690111,749.0447998046875,2013-10-09 00:00:00,7.964320000000043,8.736630000000048,9.352720000000032,0.26226044,1.0734647500000187,2.5733411167199813,7.374191184860016,1
13.787332,46.726906,3.1968658148094735,731.2611083984375,2016-09-04 18:04:00,16.99642,17.800620000000038,17.6456,0.4352033,0.5701631169999969,3.2941968000399964,5.130708341540001,1
7.61990403,46.28376389,46.84055789723862,1014.325439453125,2017-05-29 13:34:00,19.114160000000027,6.027500000000032,0.1407400000000507,0.1093447199999999,0.1942664369999859,0.4584863792399919,2.4377422122390056,1
12.132183,46.539613,5.953274795724094,1204.4844970703125,2016-08-16 17:45:00,13.065449999999998,13.868250000000046,13.270039999999996,0.009670854,0.0600963840000128,3.2490475395500056,13.478648083712995,1
6.807628202,44.32688636,21.70075773478317,2707.783203125,2017-06-30 13:20:00,9.054700000000024,15.238100000000031,10.847920000000045,0.15850365,0.2407431619999858,2.0562707258199984,22.03593265016,1
9.595744348,46.29694459,54.31426908089816,2788.71728515625,2017-08-23 13:45:00,16.48058000000003,19.10910000000001,13.117800000000043,1.0383278,1.269489510000002,1.3697743251299963,1.6423642493500037,1
9.596416952,46.29691494,55.40955193442017,2805.356201171875,2017-08-25 13:45:00,17.008500000000026,19.25356000000005,14.352620000000002,0.15929344,0.4040897200000017,1.1113375694699963,3.204324852940004,1
6.852,46.7191,0.7460813399953974,482.99249267578125,2013-02-03 00:00:00,-2.6064799999999764,1.476130000000012,2.256130000000041,0.45304,1.815190539999996,20.64659640999999,45.59487482224199,1
6.7208,46.4885,15.71511144870945,413.90411376953125,2015-05-05 09:00:00,18.80856,12.97732000000002,11.865319999999995,2.9802322e-05,0.0007189810349809,0.7746145364199982,37.91482095379001,1
7.2083,45.9547,1.3994699887898194,1612.3719482421875,2011-09-03 19:15:00,9.77487000000002,10.519770000000053,10.316250000000023,0.982821,1.7568468999999984,9.900164573770006,11.578536013195013,1
6.8935,45.8737,13.353571266989265,3475.74853515625,2007-03-03 00:00:00,-3.6580599999999777,-1.075400000000002,-0.948099999999954,1.3488829,3.362178800000017,26.39617395,70.911151354,1
12.4306,47.5244,2.6496749269213318,658.291015625,2013-06-02 00:00:00,4.509520000000009,4.286100000000033,4.327140000000043,3.8907677,12.42736000000001,43.92847843999999,109.28948631,1
9.2635,45.0664,0.6931509119608248,85.65765380859375,2009-04-28 00:00:00,12.239040000000044,12.193500000000029,12.45013,0.7138252,3.3911913999999963,31.93753217,43.50156956907713,1
7.4086,46.1906,31.584157792828258,937.6505737304688,2015-05-03 00:00:00,4.690400000000011,-0.0977499999999622,-0.0756999999999834,1.47897,3.768771800000002,14.94891933730003,68.352247673492,1
