event_date,event_time,longitude,latitude,slope_degrees,elevation_m
10/09/2013 12:00:00 AM,,12.3966,47.446,2.131732071690111,749.0447998046875
09/04/2016 06:04:00 PM,,13.787332,46.726906,3.1968658148094735,731.2611083984375
05/29/2017 01:34:00 PM,,7.61990403,46.28376389,46.84055789723862,1014.325439453125
08/16/2016 05:45:00 PM,,12.132183,46.539613,5.953274795724094,1204.4844970703125
06/30/2017 01:20:00 PM,,6.807628202,44.32688636,21.70075773478317,2707.783203125
08/23/2017 01:45:00 PM,,9.595744348,46.29694459,54.31426908089816,2788.71728515625
08/25/2017 01:45:00 PM,,9.596416952,46.29691494,55.40955193442017,2805.356201171875
02/03/2013 12:00:00 AM,,6.852,46.7191,0.7460813399953974,482.99249267578125
05/05/2015 09:00:00 AM,,6.7208,46.4885,15.71511144870945,413.90411376953125
09/03/2011 07:15:00 PM,,7.2083,45.9547,1.3994699887898194,1612.3719482421875
03/03/2007 12:00:00 AM,,6.8935,45.8737,13.353571266989265,3475.74853515625
06/02/2013 12:00:00 AM,,12.4306,47.5244,2.6496749269213318,658.291015625
04/28/2009 12:00:00 AM,,9.2635,45.0664,0.6931509119608248,85.65765380859375
05/03/2015 12:00:00 AM,,7.4086,46.1906,31.584157792828258,937.6505737304688
12/26/2013 12:00:00 AM,,9.4,45.9835,29.209844601086576,725.392333984375
03/19/2016 12:00:00 AM,,8.6944,44.4099,44.560676226433706,39.007781982421875
08/13/2014 12:30:00 PM,,9.6947,46.6723,29.48133115489776,1161.6959228515625
11/12/2014 09:00:00 AM,,8.0499,45.576,24.96933262867289,484.0133972167969
10/31/2010 11:00:00 PM,,8.5282,44.4197,15.30330636641626,831.2889404296875
08/04/2015 11:00:00 PM,,12.2186,46.4891,69.87971035865372,2178.867919921875
06/04/2011 12:00:00 AM,,7.5449,46.1905,27.018675406332157,2475.763671875
03/02/2011 12:00:00 AM,,12.8788,43.3166,28.83177826962662,420.50439453125
02/08/2014 11:10:00 AM,,6.699,43.9585,32.14389626164883,671.0216064453125
01/17/2014 12:00:00 AM,,8.1243,43.9266,30.515397210303977,22.822275161743164
10/31/2010 11:00:00 PM,,9.9381,44.0928,29.7190204644769,56.45413589477539
07/07/2011 12:00:00 AM,,9.2572,46.0161,0.0,197.0
06/15/2010 12:00:00 AM,,6.4793,43.4641,7.604698219635352,90.3419418334961
05/13/2016 12:00:00 AM,,8.9745,46.8598,7.442464105793881,1176.22998046875
01/19/2014 12:00:00 AM,,9.0563,44.3804,36.73368643819747,27.788524627685547
05/30/2008 12:00:00 AM,,7.6639,44.6467,2.0199384643729634,314.1044921875
11/10/2014 12:00:00 AM,,9.3134,44.3471,17.938249160275316,104.80036926269531
05/14/2016 12:00:00 AM,,7.3968,46.9602,8.821315741594578,566.799072265625
12/26/2013 12:00:00 AM,,9.2386,45.97,15.283537360168799,269.0129699707031
07/14/2008 12:00:00 AM,,8.98,45.97,36.27819176076116,539.6371459960938
10/14/2014 12:00:00 AM,,13.8002,45.6621,20.26618025557832,137.26522827148438
01/21/2014 08:20:00 PM,,11.2315,46.3291,32.82867757763337,467.53436279296875
02/23/2014 05:00:00 AM,,7.1583,44.1867,20.138816183387867,2016.6114501953125
10/25/2011 12:00:00 AM,,9.6882,44.2408,3.911978613680915,285.0453186035156
05/02/2015 12:00:00 AM,,6.7933,45.8892,23.38903839159291,1021.8928833007812
11/05/2014 12:00:00 AM,,7.2325,43.7276,35.79811640740093,226.46482849121094
08/14/1995 12:00:00 AM,,6.9932,46.4093,61.24036353627149,1813.9207763671875
07/13/2014 12:00:00 AM,,7.2253,46.4873,9.485215944277526,1010.137939453125
03/14/2016 11:00:00 PM,,8.7412,46.6901,45.05681746717051,1981.729736328125
07/11/2016 12:00:00 AM,,6.7124,45.3917,25.034952432019484,1372.7294921875
